Column1,Column2,Column3,Column4,Column5
time,q1_l,q1_r,q2_l,q2_r
0.0,8.0,8.0,8.0,8.0
0.02,8.0,8.0,8.0,8.0
0.04,8.0,8.0,8.0,8.0
0.06,8.0,8.0,8.0,8.0
0.08,8.0,8.0,8.0,8.0
0.1,8.0,8.0,8.0,8.0
0.12,8.0,8.0,8.0,8.0
0.14,8.0,8.0,8.0,8.0
0.16,8.0,8.0,8.0,8.0
0.18,8.0,8.0,8.0,8.0
0.2,8.0,8.0,8.0,8.0
0.22,8.0,8.0,8.0,8.0
0.24,8.0,8.0,8.0,8.0
0.26,8.0,8.0,8.0,8.0
0.28,8.0,8.0,8.0,8.0
0.3,8.0,8.0,8.0,8.0
0.32,8.0,8.0,8.0,8.0
0.34,8.0,8.0,8.0,8.0
0.36,8.0,8.0,8.0,8.0
0.38,8.0,8.0,8.0,8.0
0.4,8.0,8.0,8.0,8.0
0.42,8.0,8.0,8.0,8.0
0.44,8.0,8.0,8.0,8.0
0.46,8.0,8.0,8.0,8.0
0.48,8.0,8.0,8.0,8.0
0.5,8.0,8.0,8.0,8.0
0.52,8.0,8.0,8.0,8.0
0.54,8.0,8.0,8.0,8.0
0.56,8.0,8.0,8.0,8.0
0.58,8.0,8.0,8.0,8.0
0.6,8.0,8.0,8.0,8.0
0.62,8.0,8.0,8.0,8.0
0.64,8.0,8.0,8.0,8.0
0.66,8.0,8.0,8.0,8.0
0.68,8.0,8.0,8.0,8.0
0.7000000000000001,8.0,8.0,8.0,8.0
0.72,8.0,8.0,8.0,8.0
0.74,8.0,8.0,8.0,8.0
0.76,8.0,8.0,8.0,8.0
0.78,8.0,8.0,8.0,8.0
0.8,8.0,8.0,8.0,8.0
0.8200000000000001,8.0,8.0,8.0,8.0
0.84,8.0,8.0,8.0,8.0
0.86,8.0,8.0,8.0,8.0
0.88,8.0,8.0,8.0,8.0
0.9,8.0,8.0,8.0,8.0
0.92,8.0,8.0,8.0,8.0
0.9400000000000001,8.0,8.0,8.0,8.0
0.96,8.0,8.0,8.0,8.0
0.98,8.0,8.0,8.0,8.0
1.0,8.0,8.0,8.0,8.0
1.02,8.0,8.0,8.0,8.0
1.04,8.0,8.0,8.0,8.0
1.06,8.0,8.0,8.0,8.0
1.08,8.0,8.0,8.0,8.0
1.1,8.0,8.0,8.0,8.0
1.12,8.0,8.0,8.0,8.0
1.1400000000000001,8.0,8.0,8.0,8.0
1.16,8.0,8.0,8.0,8.0
1.18,8.0,8.0,8.0,8.0
1.2,8.0,8.0,8.0,8.0
1.22,8.0,8.0,8.0,8.0
1.24,8.0,8.0,8.0,8.0
1.26,8.0,8.0,8.0,8.0
1.28,8.0,8.0,8.0,8.0
1.3,8.0,8.0,8.0,8.0
1.32,8.0,8.0,8.0,8.0
1.34,8.0,8.0,8.0,8.0
1.36,8.0,8.0,8.0,8.0
1.3800000000000001,8.0,8.0,8.0,8.0
1.4000000000000001,8.0,8.0,8.0,8.0
1.42,8.0,8.0,8.0,8.0
1.44,8.0,8.0,8.0,8.0
1.46,8.0,8.0,8.0,8.0
1.48,8.0,8.0,8.0,8.0
1.5,8.0,8.0,8.0,8.0
1.52,8.0,8.0,8.0,8.0
1.54,8.0,8.0,8.0,8.0
1.56,8.0,8.0,8.0,8.0
1.58,8.0,8.0,8.0,8.0
1.6,8.0,8.0,8.0,8.0
1.62,8.0,8.0,8.0,8.0
1.6400000000000001,8.0,8.0,8.0,8.0
1.6600000000000001,8.0,8.0,8.0,8.0
1.68,8.0,8.0,8.0,8.0
1.7,8.0,8.0,8.0,8.0
1.72,8.0,8.0,8.0,8.0
1.74,8.0,8.0,8.0,8.0
1.76,8.0,8.0,8.0,8.0
1.78,8.0,8.0,8.0,8.0
1.8,8.0,8.0,8.0,8.0
1.82,8.0,8.0,8.0,8.0
1.84,8.0,8.0,8.0,8.0
1.86,8.0,8.0,8.0,8.0
1.8800000000000001,8.0,8.0,8.0,8.0
1.9000000000000001,8.0,8.0,8.0,8.0
1.92,8.0,8.0,8.0,8.0
1.94,8.0,8.0,8.0,8.0
1.96,8.0,8.0,8.0,8.0
1.98,8.0,8.0,8.0,8.0
2.0,8.0,8.0,8.0,8.0
2.02,8.0,8.0,8.0,8.0
2.04,8.0,8.0,8.0,8.0
2.06,8.0,8.0,8.0,8.0
2.08,8.0,8.0,8.0,8.0
2.1,8.0,8.0,8.0,8.0
2.12,8.0,8.0,8.0,8.0
2.14,8.0,8.0,8.0,8.0
2.16,8.0,8.0,8.0,8.0
2.18,8.0,8.0,8.0,8.0
2.2,8.0,8.0,8.0,8.0
2.22,8.0,8.0,8.0,8.0
2.24,8.0,8.0,8.0,8.0
2.2600000000000002,8.0,8.0,8.0,8.0
2.2800000000000002,8.0,8.0,8.0,8.0
2.3000000000000003,8.0,8.0,8.0,8.0
2.32,8.0,8.0,8.0,8.0
2.34,8.0,8.0,8.0,8.0
2.36,8.0,8.0,8.0,8.0
2.38,8.0,8.0,8.0,8.0
2.4,8.0,8.0,8.0,8.0
2.42,8.0,8.0,8.0,8.0
2.44,8.0,8.0,8.0,8.0
2.46,8.0,8.0,8.0,8.0
2.48,8.0,8.0,8.0,8.0
2.5,8.0,8.0,8.0,8.0
2.52,8.0,8.0,8.0,8.0
2.54,8.0,8.0,8.0,8.0
2.56,8.0,8.0,8.0,8.0
2.58,8.0,8.0,8.0,8.0
2.6,8.0,8.0,8.0,8.0
2.62,8.0,8.0,8.0,8.0
2.64,8.0,8.0,8.0,8.0
2.66,8.0,8.0,8.0,8.0
2.68,8.0,8.0,8.0,8.0
2.7,8.0,8.0,8.0,8.0
2.72,8.0,8.0,8.0,8.0
2.74,8.0,8.0,8.0,8.0
2.7600000000000002,8.0,8.0,8.0,8.0
2.7800000000000002,8.0,8.0,8.0,8.0
2.8000000000000003,8.0,8.0,8.0,8.0
2.82,8.0,8.0,8.0,8.0
